attribute,winner,count
addresses,base,701
addresses,current,1299
categories,base,530
categories,current,1458
categories,tie,12
emails,base,622
emails,current,1378
names,base,769
names,current,1231
phones,base,523
phones,current,1474
phones,tie,3
socials,base,497
socials,current,1054
socials,tie,449
websites,base,644
websites,current,1354
websites,tie,2
