id,base_id,attribute,winner,prob_current
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,names,current,0.5102927805308151
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,categories,current,0.8071101246013122
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,websites,base,0.015589574351906776
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,phones,current,0.8736094857968044
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,addresses,base,0.02999669164078097
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,emails,current,1.0
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,socials,current,1.0
08f29a456e42e5830324637954145c50,1125899907111860,names,current,0.9368604830315146
08f29a456e42e5830324637954145c50,1125899907111860,categories,current,0.9740230125275906
08f29a456e42e5830324637954145c50,1125899907111860,websites,base,0.01710606925189495
08f29a456e42e5830324637954145c50,1125899907111860,phones,current,0.8594150735177775
08f29a456e42e5830324637954145c50,1125899907111860,addresses,current,0.845706920561418
08f29a456e42e5830324637954145c50,1125899907111860,emails,current,1.0
08f29a456e42e5830324637954145c50,1125899907111860,socials,current,1.0
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,names,current,0.8962744647063806
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,categories,base,0.3061752264557215
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,websites,current,0.8984904885292053
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,phones,current,0.8062089160810143
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,addresses,current,0.9618321164550473
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,emails,current,1.0
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,socials,current,1.0
1407374885933937,844424932146366,names,base,0.12397421290223626
1407374885933937,844424932146366,categories,current,0.7034923969622306
1407374885933937,844424932146366,websites,base,0.0010472703725099564
1407374885933937,844424932146366,phones,base,0.1478796539874692
1407374885933937,844424932146366,addresses,base,0.07582003394193673
1407374885933937,844424932146366,emails,current,1.0
1407374885933937,844424932146366,socials,base,0.10333333333333333
08f3956260b9e14003feca2bf0764d0c,1407374887472291,names,current,0.8414040001530824
08f3956260b9e14003feca2bf0764d0c,1407374887472291,categories,base,0.44918848108867354
08f3956260b9e14003feca2bf0764d0c,1407374887472291,websites,current,0.8870486617088318
08f3956260b9e14003feca2bf0764d0c,1407374887472291,phones,current,0.8089366096884589
08f3956260b9e14003feca2bf0764d0c,1407374887472291,addresses,base,0.02729255519232042
08f3956260b9e14003feca2bf0764d0c,1407374887472291,emails,current,1.0
08f3956260b9e14003feca2bf0764d0c,1407374887472291,socials,current,1.0
1125899912143279,1407374890190043,names,current,0.8329848473936673
1125899912143279,1407374890190043,categories,base,0.3990261216591891
1125899912143279,1407374890190043,websites,base,0.013917540200054646
1125899912143279,1407374890190043,phones,base,0.14649644485422786
1125899912143279,1407374890190043,addresses,base,0.05687877835140639
1125899912143279,1407374890190043,emails,current,1.0
1125899912143279,1407374890190043,socials,base,0.12666666666666668
08f2aa879200ab960398d7c665470cf4,562949954974969,names,base,0.03265369645135191
08f2aa879200ab960398d7c665470cf4,562949954974969,categories,base,0.12987404035627528
