id,base_id,confidence,base_confidence,sources,base_sources,base_names,names,base_categories,categories,base_websites,websites,base_phones,phones,base_addresses,addresses,base_emails,emails,base_socials,socials
08f64a59990a63a0030784450be43ba4,4fe31684e4b02bc5526741ee,0.23154848046309695,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""800712036614657"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.23154848046309695}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4fe31684e4b02bc5526741ee"",""update_time"":""2020-11-21T00:00:00.000"",""confidence"":1.0}]","{""primary"":""ร้านตัดผมพี่ริน ห้วยตะแคง"",""common"":{},""rules"":[]}","{""primary"":""ร้านตัดผมพี่ริน ห้วยตะแคง""}","{""primary"":""Business and Professional Services > Health and Beauty Service > Hair Salon"",""alternate"":[]}","{""primary"":""beauty_salon"",""alternate"":[""barber"",""thai_restaurant""]}",[null],,[null],,"[{""country"":""TH""}]","[{""country"":""TH""}]",[null],,"[null,null,null]","[""https://www.facebook.com/800712036614657""]"
08f3da18ccad52ad03cc06b87820910f,1688849864728832,0.77,0.77,"[{""property"":"""",""dataset"":""msft"",""record_id"":""1970324841936378"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849864728832"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1688849864728832"",""update_time"":""2023-06-02T06:10:02.65"",""confidence"":0.77}]","{""primary"":""Davaindia Generic Pharmacy""}","{""primary"":""davaindia GENERIC PHARMACY""}","{""primary"":""pharmacy"",""alternate"":[""retail""]}","{""primary"":""pharmacy"",""alternate"":[""retail""]}","[""https://pharmacy-nearme.davaindia.com/davaindia-generic-pharmacy-pharmacy-rohini-sector-15-new-delhi-173545/Home?utm_source=locator&utm_medium=bing""]","[""http://sector15rohini.davaindia.com/""]","[""09818559767""]","[""09818559767""]","[{""freeform"":""Shop No F21/66, Rohini, Sector 15"",""locality"":""New Delhi"",""region"":""Delhi"",""country"":""IN"",""postcode"":""110089""}]","[{""freeform"":""Shop No F21/66, Rohini, Sector 15"",""locality"":""New Delhi"",""postcode"":""110089"",""region"":""Delhi"",""country"":""IN""}]",,,,
08f4823ad167532903b45bc53a70221e,4c0d8f472466a593f4cf7721,0.7927927927927928,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""1547483718896468"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.7927927927927928}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4c0d8f472466a593f4cf7721"",""update_time"":""2024-01-19T00:00:00.000"",""confidence"":1.0}]","{""primary"":""The Home Depot"",""common"":{},""rules"":[]}","{""primary"":""The Home Depot México""}","{""primary"":""Retail > Hardware Store"",""alternate"":[""Retail > Furniture and Home Store""]}","{""primary"":""home_and_garden"",""alternate"":[""hardware_store"",""building_supply_store""]}","[""http://www.homedepot.com""]","[""http://www.homedepot.com.mx/""]",[null],"[""+528000046633""]","[{""freeform"":""Carretera Transpeninsular Benito Juarez Km. 6.5 Col"",""locality"":""Cabo San Lucas"",""region"":""Baja California South"",""country"":""MX"",""postcode"":""23455""}]","[{""freeform"":""Calle Benito Juárez 75"",""locality"":""Cabo San Lucas"",""postcode"":""23470"",""region"":""BCS"",""country"":""MX""}]",[null],,"[""https://www.twitter.com/homedepot"",""https://www.facebook.com/106485550030"",null]","[""https://www.facebook.com/1547483718896468""]"
08f28de8b291171e037d00b748edc418,1125899912911929,0.9877528662420382,0.77,"[{""property"":"""",""dataset"":""meta"",""record_id"":""102133142967621"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912911929"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1125899912911929"",""update_time"":""2024-12-19T08:08:28.2"",""confidence"":0.77}]","{""primary"":""Sonei Jewellers""}","{""primary"":""Sonei Jewellers""}","{""primary"":""jewelry_store"",""alternate"":[""retail""]}","{""primary"":""jewelry_store""}","[""https://soneijewellers.ca/""]","[""http://soneijewellers.ca/""]","[""6045748049""]","[""+16045748049""]","[{""freeform"":""Unit - 23 8430 128 St"",""locality"":""Surrey"",""region"":""BC"",""country"":""CA"",""postcode"":""V3W 4G3""}]","[{""freeform"":""8430 128 St"",""locality"":""Surrey"",""postcode"":""V3W 4G3"",""region"":""BC"",""country"":""CA""}]",,,,"[""https://www.facebook.com/102133142967621""]"
08fa90e8d6b065a303084f1af4a32095,6074510f34b6166478c228a1,0.6214335421016005,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""1155217891169623"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.6214335421016005}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""6074510f34b6166478c228a1"",""update_time"":""2021-04-12T00:00:00.000"",""confidence"":1.0}]","{""primary"":""Imobiliaria Alegro"",""common"":{},""rules"":[]}","{""primary"":""Imobiliária Alegro""}","{""primary"":""Business and Professional Services > Real Estate Service > Real Estate Agency"",""alternate"":[]}","{""primary"":""real_estate"",""alternate"":[""real_estate_agent"",""real_estate_service""]}",[null],"[""http://www.imobiliariaalegro.com.br/""]",[null],"[""+555130673966""]","[{""freeform"":""100 Rua Sobradinho"",""locality"":""Novo Hamburgo"",""region"":""RS"",""country"":""BR"",""postcode"":""93534-540""}]","[{""freeform"":""Rua Sobradinho, 100"",""locality"":""Novo Hamburgo"",""postcode"":""93534-540"",""region"":""RS"",""country"":""BR""}]",[null],,"[null,null,null]","[""https://www.facebook.com/1155217891169623""]"
08f618c49a7528c003ccdd6a1e4805b9,5fb696146628442f48777bc7,0.77,1.0,"[{""property"":"""",""dataset"":""Microsoft"",""record_id"":""1688849863162788"",""update_time"":""2023-06-12T16:58:27.017Z"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""5fb696146628442f48777bc7"",""update_time"":""2021-01-18T00:00:00.000"",""confidence"":1.0}]","{""primary"":""HDFC Bank ATM"",""common"":{},""rules"":[]}","{""primary"":""HDFC Bank ATM""}","{""primary"":""Business and Professional Services > Financial Service > Banking and Finance > ATM"",""alternate"":[]}","{""primary"":""bank_credit_union"",""alternate"":[""atms""]}","[""https://v1.hdfcbank.com/branch-atm-locator/hdfc-bank-atm-thiruvottriyur-atm-thiruvottriyur-tiruvallur-17474/Home""]","[""https://near-me.hdfcbank.com/branch-atm-locator/hdfc-bank-atm-thiruvottriyur-atm-thiruvottriyur-tiruvallur-17474/Home?utm_source=locator&utm_medium=bing""]","[""075739 19585""]","[""09426792001""]","[{""freeform"":""No 4,South Mada Street"",""locality"":""Tiruvallur"",""region"":""Tamil Nadu"",""country"":""IN"",""postcode"":""600019""}]","[{""freeform"":""No 4, South Mada Street, Thiruvottriyur"",""locality"":""Tiruvallur"",""postcode"":""600019"",""region"":""Tamil Nadu"",""country"":""IN""}]",[null],,"[null,null,null]",
08f2aad39c474c9c03e6e7b74bca7273,08f2aad39c474da8039ec1a4645dc0eb,0.9837452982267598,0.9097222222222222,"[{""property"":"""",""dataset"":""meta"",""record_id"":""1691483661121966"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""102579202136726"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Five Points Plaza""}","{""primary"":""Five Pointe Barber Shop""}","{""primary"":""flowers_and_gifts_shop""}","{""primary"":""barber"",""alternate"":[""beauty_salon"",""beauty_and_spa""]}",,"[""http://5pointbarber.com""]",,"[""+13026457779""]","[{""freeform"":""17601 Coastal Hwy"",""postcode"":""19958"",""country"":""US""}]","[{""freeform"":""17601 Coastal Hwy"",""locality"":""Lewes"",""postcode"":""19958-6217"",""region"":""DE"",""country"":""US""}]",,,"[""https://www.facebook.com/102579202136726""]","[""https://www.facebook.com/1691483661121966""]"
08fa810394ce9a0003eabeff0516b3b1,4bae285af964a5204d8b3be3,0.48103896103896104,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""100430302778457"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.48103896103896104}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4bae285af964a5204d8b3be3"",""update_time"":""2021-08-12T00:00:00.000"",""confidence"":1.0}]","{""primary"":""Esfiha Chic"",""common"":{},""rules"":[]}","{""primary"":""Esfiha Chic - Vila Arcádia""}","{""primary"":""Dining and Drinking > Restaurant > Mediterranean Restaurant"",""alternate"":[""Dining and Drinking > Restaurant > Fast Food Restaurant""]}","{""primary"":""fast_food_restaurant"",""alternate"":[""restaurant"",""pizza_restaurant""]}","[""http://esfihachicvergueiro.com.br""]","[""https://edeliveryapp.com.br/esfihachic/""]","[""(11) 3998-9853""]","[""+551139756418""]","[{""freeform"":""Av. Gal. Edgard Faccó, 2002"",""locality"":""São Paulo"",""region"":""SP"",""country"":""BR""}]","[{""freeform"":""Avenida General Edgard Facó, 2002"",""locality"":""São Paulo"",""postcode"":""02924-600"",""region"":""SP"",""country"":""BR""}]",[null],,"[null,null,null]","[""https://www.facebook.com/100430302778457""]"
562949960007229,844424932283258,0.77,0.77,"[{""dataset"":""Microsoft"",""record_id"":""562949960007229"",""update_time"":""2024-10-08T08:22:12.437"",""confidence"":0.77}]","[{""dataset"":""Microsoft"",""record_id"":""844424932283258"",""update_time"":""2019-05-19T02:48:17.867"",""confidence"":0.77}]","{""primary"":""The Bristol Hotel""}","{""primary"":""The Bristol Hotel""}","{""primary"":""resort"",""alternate"":[""hotel""]}","{""primary"":""resort"",""alternate"":[""hotel""]}","[""https://www.bristolhotelva.com/""]","[""https://www.bristolhotelva.com/?utm_medium=organic&utm_source=yext&utm_campaign=website""]","[""2766963535""]","[""2766963535""]","[{""freeform"":""510 Birthplace Of Country Music Way"",""locality"":""Bristol"",""region"":""VA"",""country"":""US"",""postcode"":""24201""}]","[{""freeform"":""115 Country Music Way"",""locality"":""Bristol"",""region"":""VA"",""country"":""US"",""postcode"":""24201""}]",,,,
08f39608a0b76a6203fb3f420b3f857f,4de8cde9d22d09215a24b36d,0.9544061302681992,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""121948801246672"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9544061302681992}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4de8cde9d22d09215a24b36d"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]","{""primary"":""Chateau Saint Louis"",""common"":{},""rules"":[]}","{""primary"":""Château Saint Louis""}","{""primary"":""Dining and Drinking > Vineyard"",""alternate"":[]}","{""primary"":""winery"",""alternate"":[""eat_and_drink"",""event_planning""]}","[""http://www.chateausaintlouis.fr""]","[""http://www.chateausaintlouis.fr""]","[""05 63 30 20 20""]","[""+33563301313""]","[{""freeform"":""196 Bis rue Victor Hugo"",""locality"":""Labastide-Saint-Pierre"",""region"":""Midi-Pyrénées"",""country"":""FR""}]","[{""freeform"":""380 Chemin de Boix Vieux"",""locality"":""Labastide-Saint-Pierre"",""postcode"":""82370"",""country"":""FR""}]",[null],,"[null,""https://www.facebook.com/233306156688282"",null]","[""https://www.facebook.com/121948801246672""]"
