id,base_id,base_categories,categories
1407374886630445,562949956278891,"{""primary"":""mortgage_lender"",""alternate"":[""mortgage_broker""]}","{""primary"":""mortgage_lender"",""alternate"":[""mortgage_broker""]}"
08f44e06aa0b5a4a03caf2e60bd69a4a,1125899911371512,"{""primary"":""pest_control_service""}","{""primary"":""pest_control_service""}"
08f1faea1a71d7250355b13ab53cefdb,844424932430088,"{""primary"":""burger_restaurant"",""alternate"":[""cafe"",""pizza_restaurant"",""salad_bar"",""food"",""restaurant""]}","{""primary"":""restaurant"",""alternate"":[""german_restaurant"",""burger_restaurant""]}"
281474979329236,562949965387375,"{""primary"":""medical_supply"",""alternate"":[""wig_store"",""orthotics"",""health_and_medical"",""retail""]}","{""primary"":""medical_supply"",""alternate"":[""wig_store"",""orthotics"",""health_and_medical"",""retail""]}"
08f26567197a3b3603beda847a81c35f,1125899911053810,"{""primary"":""energy_equipment_and_solution"",""alternate"":[""solar_installation"",""business_equipment_and_supply"",""business_to_business""]}","{""primary"":""energy_equipment_and_solution"",""alternate"":[""solar_installation"",""home_improvement_store""]}"
1125899912260220,562949959086888,"{""primary"":""atms""}","{""primary"":""atms""}"
08f266d4a16a03ab0311ad6f84dc7077,1125899910428742,"{""primary"":""roofing"",""alternate"":[""ceiling_service"",""ceiling_and_roofing_repair_and_service""]}","{""primary"":""roofing"",""alternate"":[""contractor"",""home_improvement_store""]}"
08f44c021830026803d17bc7c5fb545d,562949961777702,"{""primary"":""animal_hospital"",""alternate"":[""pet_services"",""veterinarian"",""pets""]}","{""primary"":""veterinarian"",""alternate"":[""hospital"",""social_service_organizations""]}"
08f2a100d8654204037ff5b80140ed5d,562949963912237,"{""primary"":""self_storage_facility""}","{""primary"":""self_storage_facility"",""alternate"":[""storage_facility""]}"
08f1ea4c402c36690356e3ca028ae6f9,1125899910260202,"{""primary"":""hotel"",""alternate"":[""condominium"",""cabin"",""inn"",""motel"",""architecture"",""holiday_rental_home""]}","{""primary"":""hotel"",""alternate"":[""landmark_and_historical_building"",""holiday_rental_home""]}"
08f2e614569a86580306294dc87fd829,08f2e614569ab00003e1b072e293ad1b,"{""primary"":""landmark_and_historical_building"",""alternate"":[""park"",""public_plaza""]}","{""primary"":""palace"",""alternate"":[""hotel""]}"
08f274864eb8c0f30307c49f06635d20,1970324838811072,"{""primary"":""printing_services"",""alternate"":[""sign_making""]}","{""primary"":""sign_making"",""alternate"":[""printing_services"",""professional_services""]}"
08f1f916e27045180352f04913bc42cc,08f1f916e27154190345b56b0486a3a7,"{""primary"":""department_store"",""alternate"":[""bookstore"",""electronics""]}","{""primary"":""health_and_medical"",""alternate"":[""hospital""]}"
