id,base_id,base_websites,websites
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"[""https://www.goinpostaljacksonville.com/""]","[""http://www.goinpostaljacksonville.com/""]"
08f29a456e42e5830324637954145c50,1125899907111860,"[""http://valleytransca.com/""]","[""http://valleytransca.com/""]"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"[""https://nelspruitmazda.co.za/""]","[""http://bit.ly/NelspruitMazda""]"
1407374885933937,844424932146366,"[""http://stores.redwing.com/roswell-ga""]","[""https://stores.redwingshoes.com/roswell-ga""]"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"[""http://centro.norauto.es/centre/alicante-finestrat-benidorm/358""]","[""https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9""]"
1125899912143279,1407374890190043,"[""https://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek""]","[""http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek""]"
08f2aa879200ab960398d7c665470cf4,562949954974969,"[""""]","[""https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116""]"
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,"[""https://www.sushico.nl/""]","[""http://www.sushico.nl/""]"
1407374891126949,562949966191554,"[""https://nextcare.com/locations/nc/gastonia/""]","[""https://nextcare.com/locations/nc/gastonia/""]"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"[""https://www.bp.com/es_es/spain/home/productos-y-servicios/para-su-vehiculo/estaciones-de-servicio-bp.html""]","[""https://www.bp.com/es_es/spain/home.html""]"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"[""""]","[""http://www.pettigrew.us/""]"
08f44e8346794333033a01eb53999680,1407374890864242,"[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]","[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]"
1407374887100674,562949958711311,"[""http://www.murphyusa.com/""]","[""http://www.murphyusa.com/""]"
08f2ab2c4b89449a03e88d9391424fd1,562949961699505,"[""https://certaopportune.com/""]","[""http://www.certaopportune.ca/""]"
1970324842101934,1970324842430502,"[""""]","[""https://locations.dtlr.com/va/richmond/southside-plaza.html""]"
08f281334dcd60a303d3ca8e7eff2b77,562949957672973,"[""https://burgerking.com/store-locator/store/restaurant_5319""]","[""https://burgerking.com/store-locator/store/restaurant_5319""]"
08f1f8ed8172e8b203a9f0a42e5a8224,1125899912578717,"[""http://bellaiuto.ch/""]","[""http://www.bellaiuto.ch/""]"
08f44e554128900503a7df0284a7d549,1407374891438357,"[""http://luluspcb.com/""]","[""http://luluspcb.com""]"
1125899912492752,562949957705495,"[""https://www.fastestlabs.com/pittsburgh/""]","[""https://www.fastestlabs.com/pittsburgh/""]"
08f26ea82388e7990365b4a4be4226e2,1407374886399280,"[""https://healthcare.ascension.org/find-care/provider/1356415574/jill-johnson""]","[""""]"
562949962147432,562949962669156,"[""https://www.audionetwork.com/""]","[""https://www.audionetwork.com/""]"
08f2659a2d05a4b103cc0338dfb94fa1,1407374886155785,"[""https://east-memphis.orangetheoryfitness.com/?utm_source=local_seo&utm_medium=organic&utm_content=reputationdotcom""]","[""https://east-memphis.orangetheoryfitness.com/""]"
1407374885778830,1407374885928947,"[""http://fitnesstogether.com/jenks-riverside""]","[""http://www.fitnesstogether.com/jenks-riverside""]"
08f2a1054d2dd7b003431719d93037ed,1125899907096133,"[""http://www.rei.com/stores/paramus.html?utm_source=bing&utm_medium=local&utm_campaign=localmaps&utm_content=140""]","[""https://www.rei.com/stores/paramus?y_source=1_MTQ1MzQxNC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]"
