id,base_id,addresses,base_addresses
08f1f8c261c63d18034bc43e16fabed6,562949965872426,"[{""freeform"":""Haunstetter Straße 258"",""locality"":""Augsburg"",""postcode"":""86179"",""country"":""DE""}]","[{""freeform"":""Haunstetterstr. 258"",""locality"":""Augsburg"",""region"":""Bavaria"",""country"":""DE"",""postcode"":""86179""}]"
844424933664824,844424934717048,"[{""freeform"":""Via Castelleone, 136"",""locality"":""Cremona"",""region"":""CR"",""country"":""IT"",""postcode"":""26100""}]","[{""freeform"":""Via Castelleone 136"",""locality"":""Cremona"",""region"":""CR"",""country"":""IT"",""postcode"":""26100""}]"
08f195b614a70ba603c3acc5ff81ea94,1688849864156812,"[{""freeform"":""38 Fore Street"",""locality"":""Torquay"",""postcode"":""TQ1 4LX"",""region"":""ENG"",""country"":""GB""}]","[{""freeform"":""38 Fore Street, St Marychurch"",""locality"":""Torquay"",""region"":"""",""country"":""GB"",""postcode"":""TQ1 4LX""}]"
08f392a846b9ead903aeffd974246bd5,562949958596550,"[{""freeform"":""Calle Labradores, 4"",""locality"":""Medina del Campo"",""postcode"":""47400"",""country"":""ES""}]","[{""freeform"":""Calle de Labradores, 4, LOCAL"",""locality"":""Medina del Campo"",""region"":""Valladolid"",""country"":""ES"",""postcode"":""47400""}]"
08f44cc2ed92b4ad037ec09a5c0f7c76,1125899910607136,"[{""freeform"":""305 Cedar Ln"",""locality"":""Fort Oglethorpe"",""postcode"":""30742-3361"",""region"":""GA"",""country"":""US""}]","[{""freeform"":""305 S Cedar Lane"",""locality"":""Fort Oglethorpe"",""region"":""GA"",""country"":""US"",""postcode"":""30742""}]"
08f618c4c6d826e803b8e71b07951b00,1688849864517960,"[{""freeform"":""Unit No 2, Ground Floor, Phase 1, Cmrl, Ashok Nagar, Near ESI"",""locality"":""Chennai"",""postcode"":""600083"",""region"":""Tamil Nadu"",""country"":""IN""}]","[{""freeform"":""Unit No 2, Ground Floor, Phase 1, Cmrl, Ashok Nagar"",""locality"":""Chennai"",""region"":""Tamil Nadu"",""country"":""IN"",""postcode"":""600083""}]"
08f1f02580711558032beb326920b8cf,1970324838928644,"[{""freeform"":""Von-Eichendorff-Straße 28"",""locality"":""Adendorf"",""postcode"":""21365"",""country"":""DE""}]","[{""freeform"":""Von-Eichendorff-Str. 28"",""locality"":""Adendorf"",""region"":""Niedersachsen"",""country"":""DE"",""postcode"":""21365""}]"
08f1951b4b8939820392d42fadf7bf37,562949959929615,"[{""freeform"":""Countess Ave"",""postcode"":""SK8 6QS"",""country"":""GB""}]","[{""freeform"":""Countess Avenue, Cheadle Hulme"",""locality"":""Handforth"",""region"":"""",""country"":""GB"",""postcode"":""SK8 6QS""}]"
08f344cd2aca0481032c090f1adc9a67,1970324841290328,"[{""freeform"":""Calle Girasol, 13"",""locality"":""Santa Cruz de Tenerife"",""postcode"":""38107"",""region"":""CN"",""country"":""ES""}]","[{""freeform"":""Calle Girasol 15"",""locality"":""Santa Cruz de Tenerife"",""region"":"""",""country"":""ES"",""postcode"":""38107""}]"
1407374888884529,562949957120804,"[{""freeform"":""Ferdinand-Wallbrecht-Straße, Aral"",""locality"":""Hannover"",""region"":""Lower Saxony"",""country"":""DE"",""postcode"":""30163""}]","[{""freeform"":""Isernhagener Str. 103-107"",""locality"":""Hannover"",""region"":""Niedersachsen"",""country"":""DE"",""postcode"":""30163""}]"
1970324838684125,2251799821010128,"[{""freeform"":""Shop 245, Stockland Wetherill Park, 561-583 Polding Street"",""locality"":""Wetherill Park"",""region"":""New South Wales"",""country"":""AU"",""postcode"":""2164""}]","[{""freeform"":""Shop 245, Stockland Wetherill Park, Polding St"",""locality"":""Wetherill Park"",""region"":""New South Wales"",""country"":""AU"",""postcode"":""2164""}]"
08f44c12058099550328ef145a684512,1407374891446092,"[{""freeform"":""1475 Holcomb Bridge Rd"",""locality"":""Roswell"",""postcode"":""30076-2126"",""region"":""GA"",""country"":""US""}]","[{""freeform"":""1475 Holcomb Bridge Rd Ste 183"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]"
1970324838776782,844424931059069,"[{""freeform"":""Unit 12, Fulcrum 4, Solent Way"",""locality"":""Whiteley"",""region"":""Hampshire"",""country"":""GB"",""postcode"":""PO15 7FT""}]","[{""freeform"":""Unit 12 Fulcrum"",""locality"":""Fareham"",""region"":"""",""country"":""GB"",""postcode"":""PO15 7FT""}]"
08f27418ead55b2203bbea6c6321ba6c,1970324838758800,"[{""freeform"":""402 E Front St"",""locality"":""Traverse City"",""postcode"":""49686-2614"",""region"":""MI"",""country"":""US""}]","[{""freeform"":""522 E Front St"",""locality"":""Traverse City"",""region"":""MI"",""country"":""US"",""postcode"":""49686""}]"
