id,base_id,websites,base_websites
08f28dec4354270203936b319e65d7d8,562949958964965,"[""https://www.shoppersdrugmart.ca/en/store-locator/store/2112/?utm_source=Facebook&utm_medium=lpm&utm_campaign=LPM_SDM""]","[""""]"
08f2646a4c0c553203964bd31cbcec1e,562949955033525,"[""https://www.redbox.com/locations/illinois/bethalto/62010/43881""]","[""""]"
08f1f89088c19c710309bbdd9cc585f8,2251799819270438,"[""https://www.tui-blue.com/fieberbrunn""]","[""https://www.tui-blue.com/en/hotels/tui-blue-fieberbrunn.html""]"
1407374883833947,562949966094370,"[""http://www.jonathankjewelry.com/""]","[""""]"
1125899910316196,1407374886969303,"[""https://awatoz.com/""]","[""https://directvdealer.com/texas/spring/satellite-tv-and-sound""]"
08f29a41a556ca9a030dccaefe2a687b,281474978286624,"[""https://locations.jackinthebox.com/us/ca/national-city/700-roosevelt-ave?utm_source=Facebook&utm_medium=local&utm_campaign=facebook-local""]","[""http://www.jackinthebox.com/locations/CA/National%20City/91950/3049?utm_source=bing&utm_medium=local&utm_campaign=localmaps&utm_content=3049""]"
08f1959ba9388a2d03837ddf4c8df4de,1125899908395510,"[""""]","[""http://www.bookendsofemsworth.co.uk/""]"
08f265d681c335a103bad6b2d6152105,1688849863431069,"[""https://automobiles.honda.com/""]","[""http://www.hondaofjonesboro.com/""]"
2251799814046837,844424932275445,"[""http://www.applebees.com/""]","[""https://restaurants.applebees.com/en-us/mn/new-hope/4203-winnetka-avenue-north-82008""]"
2251799821220766,562949955210846,"[""https://www.hrblock.com/local-tax-offices/tennessee/cordova/1140-n-germantown-pkwy-ste-112/40099/?otppartnerid=9308&campaignid=pw_mcm_9308_9765""]","[""""]"
08f2a346131025a103c49945e98beab6,1688849862840864,"[""https://www.mcdonalds.com/us/en-us/location/me/kennebunk/2-post-office-square/20090.html?cid=RF%3AYXT%3ARoN%3A%3AClicks%3Fcid%3DRF%3AYXT%3AFB%3A%3AClicks""]","[""https://mylocalmcds.com/kennebunk/""]"
08f2aab6ceb751890376e2d3a378384f,1125899908319179,"[""http://rvapizza.us/""]","[""http://www.rva-pizza.com/""]"
08f2aac22b2ad5a4030cd86c18d3c250,562949964061493,"[""https://www.midcountylanes.com/""]","[""""]"
08f44c174c09444103c4be2cf2199428,281474978255681,"[""http://www.tigerrockatlanta.com/""]","[""http://www.trma-lawrenceville.com/""]"
08f26962083a02f40376a90056fc0453,844424932249294,"[""https://www.amazon.com/dp/B0DF25FXDK""]","[""https://stevelorirobinsonrealtors.com/""]"
08f195988b898d64034008cac3a910aa,1125899908643907,"[""https://www.holiday-accommodation-winchester.co.uk/""]","[""""]"
